OBJECTID,X Coordinate (Local Projection),Y Coordinate (Local Projection),Type of Bias,Count of Victims,RMS ID,Status of Crime,Type of Offense/Crime,Notes on Crime,Type of Location,Type of Victim,Race of Victims,Gender of Victim(s),Date of Crime,Obfuscated Address of Crime,Date of Status Change,Created On,Last Edited On,Latitude,Longitude,Type of Bias,x,y
22,687815,888572,Anti-Black,1,TE2019113029,Closed,Assault,,Air/Bus/Train/Terminal,Individual,African American,Female,9/28/2019 7:00:00 AM,N PRIEST DR/ W WASHINGTON ST,,5/25/2021 4:29:48 PM,10/15/2021 8:34:27 PM,33.442612,-111.956613,12,687815,888572
23,697170,880953,Anti-Black,1,TE201918121,Early Case Closure,Disorderly Conduct,,Air/Bus/Train/Terminal,Individual,African American,Female,2/11/2019 7:00:00 AM,8XX S RURAL RD,,5/25/2021 4:29:48 PM,10/15/2021 8:34:03 PM,33.421678,-111.925942,12,697170,880953
24,692216,880948,Anti-Black,1,TE20195494,Early Case Closure,Disorderly Conduct,,Highway/Road/Street,Individual,African American,Female,5/8/2019 7:00:00 AM,1XX W UNIVERSITY DR    ,,5/25/2021 4:29:48 PM,10/15/2021 8:34:16 PM,33.421662,-111.942179,12,692216,880948
25,703457,878437,Anti-Hispanic,,TE202012855,Inactive,Theft,,Parking Lot/Garage,Business,,,2/1/2020 7:00:00 AM,19XX E APACHE BLVD,,5/25/2021 4:29:48 PM,10/15/2021 8:34:43 PM,33.414763,-111.905337,32,703457,878437
26,686807,882737,Anti-Black,8,TE202050781,Closed,Assault,,Residence/Home,Individual,"African American, White",Female and Male,5/10/2020 7:00:00 AM,13XX W 4TH ST,,5/25/2021 4:29:48 PM,10/15/2021 8:34:54 PM,33.426574,-111.95991,12,686807,882737
27,698409,861204,Anti-Black,1,TE202066151,Open,Arson,,Other/Unknown,Individual,White,Male,6/24/2020 7:00:00 AM,11XX E WESTCHESTER DR,,5/25/2021 4:29:48 PM,10/15/2021 8:35:03 PM,33.3674,-111.921878,12,698409,861204
28,706157,876644,Anti-Black,2,TE202091284,Inactive,Harrassment,,Residence/Home,Individual,African American,Female and Male,9/3/2020 7:00:00 AM,21XX E ROSARITA DR,,5/25/2021 4:29:48 PM,10/15/2021 8:35:14 PM,33.409834,-111.89649,12,706157,876644
29,-12458913,3951444,,1,TE202144402,Early Case Closure,Assault,,Residence/Home,,,Female,4/23/2021 7:00:00 AM,12XX E UNIVERSITY DR,,10/28/2021 6:45:22 PM,10/28/2021 6:51:44 PM,33.42194015,-111.92032322,33,698887.712926511,881046.360564306
30,-12459523,3952994,,2,TE202142129,Early Case Closure,Disorderly Conduct,,Residence/Home,,,Male,4/18/2021 7:00:00 AM,9XX E PLAYA DEL NORTE,,10/28/2021 6:49:41 PM,10/28/2021 6:49:41 PM,33.433556,-111.92579576,41,697218.37335958,885272.871391073
31,-12461365,3951559,,1,TE202156176,Inactive,Assault,,Parking/Drop Lot/Garage,,,,5/22/2021 7:00:00 AM,7XX S ASH AVE,,10/28/2021 6:55:20 PM,10/28/2021 6:55:20 PM,33.42280078,-111.94234347,43,692169.262139108,881360.446194224
32,-12461032,3945075,,2,TE202155545,Inactive,Threat/Intimidate Person,,Park/Playground,,,Female,5/21/2021 7:00:00 AM,55XX S ALL AMERICAN WAY,,10/28/2021 6:59:03 PM,10/28/2021 6:59:32 PM,33.37416993,-111.93935274,43,693077.890419949,863666.063648291
33,-12459536,3950329,,1,TE202153706,Inactive,Disorderly Conduct,,Hotel/Motel/Etc.,,,Male,5/16/2021 7:00:00 AM,13XX S RURAL  RD,,10/28/2021 7:01:48 PM,10/28/2021 7:01:48 PM,33.41357975,-111.9259168,41,697180.80347769,878004.55347769
34,-12460977,3952031,,1,TE202149010,Active,Aggravated Assault,,Hotel/Motel/Etc.,,,,5/5/2021 7:00:00 AM,XX E 5TH ST,,10/28/2021 7:03:53 PM,10/28/2021 7:03:53 PM,33.42634045,-111.93885862,12,693232.776574802,882648.104330711
35,-12458931,3954960,,1,TE202167635,Early Case Closure,Criminal Damage/Trspassing,,Residence/Home,,Asian,,6/20/2021 7:00:00 AM,16XX N DAFFODIL ST,,10/28/2021 7:07:15 PM,10/28/2021 7:07:15 PM,33.44829775,-111.92048214,14,698839.576443568,890636.545603678
36,-12457738,3939879,,2,TE202178763,Early Case Closure,Threat/Intimidate Person,,Other/Unknown,,Asian,,7/19/2021 7:00:00 AM,18XX E WARNER RD,,10/28/2021 7:09:42 PM,10/28/2021 7:09:42 PM,33.33518024,-111.90976219,14,702112.049212597,849479.209973752
37,-12456307,3951072,,3,TE202194028,Active,Arson,,Residence/Home,,,Female,8/26/2021 7:00:00 AM,20XX E 10TH ST,,10/28/2021 7:12:15 PM,10/28/2021 7:12:15 PM,33.41915186,-111.89690753,43,706032.189960629,880032.402230971
429,-12462030,3949592,,2,TE2021131931,Closed,Disorderly Conduct,,Residence/Home,Individual,,Male/Female,11/30/2021 7:00:00 AM,60X W 19th St,,2/23/2022 10:20:51 PM,2/23/2022 10:20:51 PM,33.40804878,-111.94832355,32,690343.083333332,875993.469488189
430,-12458911,3949747,,1,TE20221473,Early Case Closure,Assault,,Highway/Road/Alley/Street/Sidewalk,Individual,,Male,1/4/2022 7:00:00 AM,12XX E VISTA DEL CERRO DR,,2/23/2022 10:29:34 PM,2/23/2022 10:29:34 PM,33.40920998,-111.92030302,14,698893.714566927,876414.519028872
431,-12461136,3948925,,1,TE20225352,Early Case Closure,Assault,,Residence/Home,,,Male,1/15/2022 7:00:00 AM,24XX S MILL AVE,,2/23/2022 10:33:10 PM,2/23/2022 10:33:10 PM,33.403052,-111.94028799,41,692794.765748031,874174.755905509
